County Name,Date,Year,Month,Day,Hour,PM2.5,PM10,NO2,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_100m (km/h),Average Traffic Density
Cook,2020-01-07,2020,1,7,20,4.7,14.0,13.9,0.8,67,0.0,37.9,
Cook,2020-01-07,2020,1,7,21,2.7,15.0,25.1,-0.0,64,0.0,39.3,
Cook,2020-01-07,2020,1,7,22,2.2,15.0,18.2,-1.0,66,0.0,39.7,
Cook,2020-01-07,2020,1,7,23,0.4,14.0,9.9,-1.5,66,0.0,40.0,
Cook,2020-01-08,2020,1,8,0,-1.9,17.0,6.1,-2.2,65,0.0,41.3,
Cook,2020-01-08,2020,1,8,1,1.6,20.0,4.5,-2.7,61,0.0,40.9,
Cook,2020-01-08,2020,1,8,2,3.3,14.0,3.9,-3.5,54,0.0,41.7,
Cook,2020-01-08,2020,1,8,3,2.5,21.0,2.9,-4.7,45,0.0,42.8,
Cook,2020-01-08,2020,1,8,4,0.6,18.0,5.3,-5.9,50,0.0,38.7,
Cook,2020-01-08,2020,1,8,5,3.2,19.0,9.1,-7.1,51,0.0,35.9,
Cook,2020-01-08,2020,1,8,6,4.1,20.0,8.6,-6.9,50,0.0,34.0,
Cook,2020-01-08,2020,1,8,7,2.7,22.0,12.2,-8.1,50,0.0,28.0,
Cook,2020-01-08,2020,1,8,8,3.3,30.0,10.6,-8.4,50,0.0,24.0,
Cook,2020-01-08,2020,1,8,9,5.0,30.0,11.3,-8.1,47,0.0,19.9,
Cook,2020-01-08,2020,1,8,10,3.3,25.0,11.6,-7.5,43,0.0,16.5,
Cook,2020-01-08,2020,1,8,11,1.6,27.0,11.5,-6.9,44,0.0,12.2,
Cook,2020-01-08,2020,1,8,12,2.3,28.0,11.5,-6.4,47,0.0,8.8,
Cook,2020-01-08,2020,1,8,13,6.0,28.0,14.3,-5.9,49,0.0,9.3,
Cook,2020-01-08,2020,1,8,14,7.4,25.0,12.3,-6.0,54,0.0,10.9,
Cook,2020-01-08,2020,1,8,15,8.9,38.0,13.2,-6.2,58,0.0,13.0,
Cook,2020-01-08,2020,1,8,16,5.0,39.0,11.7,-6.2,59,0.0,13.1,
Cook,2020-01-08,2020,1,8,17,3.1,27.0,16.8,-6.1,63,0.0,12.4,
Cook,2020-01-08,2020,1,8,18,0.2,27.0,33.9,-5.8,66,0.0,15.1,
Cook,2020-01-08,2020,1,8,19,2.8,28.0,31.2,-5.4,71,0.0,19.9,
Cook,2020-01-08,2020,1,8,20,2.5,38.0,27.2,-5.0,69,0.0,25.8,
Cook,2020-01-08,2020,1,8,21,5.8,37.0,25.0,-4.8,68,0.0,30.5,
