ID,SiteID,ObservationTimeUTC,Value
179917,36061NY09929,2020-01-10 04:00:00.000,8.84
179920,36061NY09929,2020-01-10 05:00:00.000,8.49
179923,36061NY09929,2020-01-10 06:00:00.000,8.54
179926,36061NY09929,2020-01-10 07:00:00.000,7.62
179929,36061NY09929,2020-01-10 08:00:00.000,6.82
179932,36061NY09929,2020-01-10 09:00:00.000,6.9
179935,36061NY09929,2020-01-10 10:00:00.000,6.87
179938,36061NY09929,2020-01-10 11:00:00.000,8.32
179941,36061NY09929,2020-01-10 12:00:00.000,9.84
179944,36061NY09929,2020-01-10 13:00:00.000,10.89
179947,36061NY09929,2020-01-10 14:00:00.000,13.41
179950,36061NY09929,2020-01-10 15:00:00.000,18.75
179953,36061NY09929,2020-01-10 16:00:00.000,20.78
179956,36061NY09929,2020-01-10 17:00:00.000,20.35
179958,36061NY09929,2020-01-10 18:00:00.000,29.41
179961,36061NY09929,2020-01-10 19:00:00.000,19.82
179964,36061NY09929,2020-01-10 20:00:00.000,18.61
179967,36061NY09929,2020-01-10 21:00:00.000,19.71
179970,36061NY09929,2020-01-10 22:00:00.000,17.88
179973,36061NY09929,2020-01-10 23:00:00.000,17.96
179976,36061NY09929,2020-01-11 00:00:00.000,15.76
179979,36061NY09929,2020-01-11 01:00:00.000,15.12
179982,36061NY09929,2020-01-11 02:00:00.000,14.41
179985,36061NY09929,2020-01-11 03:00:00.000,15.36
179988,36061NY09929,2020-01-11 04:00:00.000,12.17
179991,36061NY09929,2020-01-11 05:00:00.000,8.56
179994,36061NY09929,2020-01-11 06:00:00.000,9.1
179997,36061NY09929,2020-01-11 07:00:00.000,7.47
180000,36061NY09929,2020-01-11 08:00:00.000,7.05
180003,36061NY09929,2020-01-11 09:00:00.000,6.64
180006,36061NY09929,2020-01-11 10:00:00.000,6.74
180009,36061NY09929,2020-01-11 11:00:00.000,7.16
180012,36061NY09929,2020-01-11 12:00:00.000,6.54
180015,36061NY09929,2020-01-11 13:00:00.000,6.39
180018,36061NY09929,2020-01-11 14:00:00.000,8.27
180021,36061NY09929,2020-01-11 15:00:00.000,8.91
180024,36061NY09929,2020-01-11 16:00:00.000,9.43
180027,36061NY09929,2020-01-11 17:00:00.000,9.98
180030,36061NY09929,2020-01-11 18:00:00.000,12.09
180033,36061NY09929,2020-01-11 19:00:00.000,8.7
180036,36061NY09929,2020-01-11 20:00:00.000,10.42
180039,36061NY09929,2020-01-11 21:00:00.000,10.72
180042,36061NY09929,2020-01-11 22:00:00.000,12.26
180045,36061NY09929,2020-01-11 23:00:00.000,10.69
180048,36061NY09929,2020-01-12 00:00:00.000,11.81
180051,36061NY09929,2020-01-12 01:00:00.000,13.12
180054,36061NY09929,2020-01-12 02:00:00.000,13.4
180057,36061NY09929,2020-01-12 03:00:00.000,11.76
180060,36061NY09929,2020-01-12 04:00:00.000,9.74
180063,36061NY09929,2020-01-12 05:00:00.000,9.46
180066,36061NY09929,2020-01-12 06:00:00.000,8.85
180069,36061NY09929,2020-01-12 07:00:00.000,9.07
180072,36061NY09929,2020-01-12 08:00:00.000,8.08
180075,36061NY09929,2020-01-12 09:00:00.000,6.82
180078,36061NY09929,2020-01-12 10:00:00.000,6.17
180081,36061NY09929,2020-01-12 11:00:00.000,5.7
180084,36061NY09929,2020-01-12 12:00:00.000,5.79
180087,36061NY09929,2020-01-12 13:00:00.000,5.47
180090,36061NY09929,2020-01-12 14:00:00.000,5.92
180093,36061NY09929,2020-01-12 15:00:00.000,15.57
180096,36061NY09929,2020-01-12 16:00:00.000,9.29
180099,36061NY09929,2020-01-12 17:00:00.000,5.7
180102,36061NY09929,2020-01-12 18:00:00.000,5.61
180105,36061NY09929,2020-01-12 19:00:00.000,5.64
180108,36061NY09929,2020-01-12 20:00:00.000,6.13
180111,36061NY09929,2020-01-12 21:00:00.000,7.65
180114,36061NY09929,2020-01-12 22:00:00.000,7.77
180117,36061NY09929,2020-01-12 23:00:00.000,9.57
180120,36061NY09929,2020-01-13 00:00:00.000,12.0
180123,36061NY09929,2020-01-13 01:00:00.000,7.37
180126,36061NY09929,2020-01-13 02:00:00.000,6.2
180129,36061NY09929,2020-01-13 03:00:00.000,6.21
180132,36061NY09929,2020-01-13 04:00:00.000,5.58
180135,36061NY09929,2020-01-13 05:00:00.000,4.66
180138,36061NY09929,2020-01-13 07:00:00.000,3.82
180141,36061NY09929,2020-01-13 08:00:00.000,4.29
180144,36061NY09929,2020-01-13 09:00:00.000,4.02
180147,36061NY09929,2020-01-13 10:00:00.000,4.85
180150,36061NY09929,2020-01-13 11:00:00.000,5.21
180153,36061NY09929,2020-01-13 12:00:00.000,7.36
180156,36061NY09929,2020-01-13 13:00:00.000,9.62
180159,36061NY09929,2020-01-13 14:00:00.000,11.24
180162,36061NY09929,2020-01-13 15:00:00.000,15.1
180165,36061NY09929,2020-01-13 16:00:00.000,14.94
180168,36061NY09929,2020-01-13 17:00:00.000,17.17
180171,36061NY09929,2020-01-13 18:00:00.000,14.52
